strategy,month,portfolio_return,pnl,equity,prev_equity,n_positions,regime_on,cost_dollars,commission_bps_per_side,slippage_bps_per_side,round_trip_bps,per_position_dollars,sizing_method,strategy_label,cost_scenario
improved_4_walkforward_stop_take_top10,2006-06-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2006-07-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2006-08-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2006-09-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2006-10-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2006-11-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2006-12-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-01-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-02-28,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-03-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-04-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-05-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-06-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-07-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-08-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-09-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-10-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-11-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2007-12-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-01-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-02-29,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-03-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-04-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-05-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-06-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-07-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-08-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-09-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-10-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-11-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2008-12-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-01-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-02-28,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-03-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-04-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-05-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-06-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-07-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-08-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-09-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-10-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-11-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2009-12-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-01-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-02-28,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-03-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-04-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-05-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-06-30,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-07-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-08-31,0.0,0.0,1000000.0,1000000.0,0,False,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-09-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-10-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-11-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2010-12-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2011-01-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2011-02-28,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2011-03-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2011-04-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2011-05-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2011-06-30,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
improved_4_walkforward_stop_take_top10,2011-07-31,0.0,0.0,1000000.0,1000000.0,0,True,0.0,0.0,0.0,0.0,100000.0,fixed_cash,improved_4,zero
